textID,text,information_about
a9d499e151,Ki tudnak szállítani egy nagy rózsamacit 2 munkanapon belül?,information
a9d499e152,Tudnak addigra küldeni egy arany virágboxot?,information
a9d499e153,Milyen árban vannak férfi ajándékok nálatok?,information
a9d499e154,A weboldalatokon láttam egy órási rózsamacit.,information
a9d499e155,"Érdeklődnék, hogy lehet-e kapni Önöknél születésnapi tortát?",information
a9d499e156,Mennyi ideig tart a kiszállítás? ,information
a9d499e157,Drágábbak a termékek az interneten?,information
a9d499e158,"Mi történik, ha az általunk kiválasztott termék nincs raktáron?",information
a9d499e159,Mennyibe kerül ez az örökrózsa? ,information
a9d499e160,Van ebből a termékből raktáron? ,information
a9d499e161,Kaphatok visszatérítést? ,information
a9d499e233,Általában mennyi idő alatt kapom meg a rendelésem?,information
a9d499e234,Milyen gyorsan kézbesítik a csomagot?,information
a9d499e235,Mi a várható kiszállítási idő?,information
a9d499e246,"“Nekem a rózsaszínt napelemes lampion tetszik. Kérhetném, hogy a szettben csak rózsaszín napelemes lampion legyen? Köszönöm!”",information
a9d499e252,Lehet szálanként is vásárolni vörös rózsát?,information
a9d499e162,A párom barátnője kapott egy rózsamacit és az enyém is szeretne kapni egyet.,order
a9d499e163,A barátom valahol látott kézszobrot.,order
a9d499e164,A barátnőm szeretne egy fekete rózsacsokrot díszdobozban.,order
a9d499e166,Szeretném a feleségemnek meglepni egy romantikus kézszobrot.,order
a9d499e167,Milyen árban vannak férfi ajándékok nálatok?,order
a9d499e169,Végül a barátnőm rajongása győzött meg arról.,order
a9d499e170,Készíttetnék egy pólót a férjemnek,order
a9d499e171,mert a feleségemnek is így készült a ruha.,order
a9d499e172,A tizedik házassági évfordulóra tudtok Bali térképet csinálni a mi nevünkkel?,order
a9d499e173,Karácsonyra vennék valamit a barátomnak.,order
a9d499e174,A héten lesz a házassági évfordulónk.,order
a9d499e175,Holnap lesz a házassági évfordulónk.,order
a9d499e176,Venni szeretnék valami szépet a barátnőm születésnapjára.,order
a9d499e177,Szülinapi ajándékot keresek a páromnak.,order
a9d499e182,"Mostanában érkezett több megrendelés felnőttek gyermekkori rajzának elkészítésére, kerek számú szülinapokra, nászajándékba.",order
a9d499e183,Szeretném elkészíttetni babámnak első születésnapjára ezt a párnát.,order
a9d499e184,Fekete erdő tortát szeretnék rendelni nagyapám 73. szülinapjára.,order
a9d499e188,Tökéletes karácsonyi ajándék lehet.,order
a9d499e189,Ki tudnak szállítani egy nagy rózsamacit 2 munkanapon belül?,order
a9d499e190,Tudnak addigra küldeni egy arany virágboxot?,order
a9d499e191,Tudnak küldeni egy virágcsokrot?,order
a9d499e192,Nagyon tetszik neki ő is szeretne egy nagy arany színűt.,order
a9d499e193,Nagyon tetszik az arany kézszobor.,order
a9d499e194,Szeretnék a feleségemnek vásárolni egy romantikus kézszobrot.,order
a9d499e195,A barátnőmnek szeretnék venni egy fekete rózsacsokrot díszdobozban.,order
a9d499e196,Vennék egy kis virágcsokrot,order
a9d499e197,Valami virágcsokrot szeretnék venni Valentin-napra ,order
a9d499e198,Kérek egy rózsamacit kiszállítva.,order
a9d499e199,Szeretnék a nővéremnek / férjemnek / feleségemnek emléktárgyat venni. ,order
a9d499e200,Úgy gondoltam egy csokor rózsa szép lenne.,order
a9d499e201,"“Az évfordulóra szeretnék rendelni egy Róma térképet a nevünkkel, szépen becsomagolva, hogy már csak át kelljen adnom.”",order
a9d499e202,"“Rendelek egy nagy arany rózsamacit. Érkezhet már eleve díszcsomagolásban, megcímzett kártyával.”",order
a9d499e203,"“Küldjetek egy arany rózsa csokrot diszcsomagolásban, megcímzett ajándékkártyával.“",order
a9d499e204,"“Rendelni szeretnék egy szál piros örökrózsát piros szívvel, Pétertől Katinak címzett kártyával.”",order
a9d499e205,"“Holnapután Valentin nap. Kérlek, küldjetek bármi rózsaszín ajándékot a barátnőmnek 10-15 ezer forint körül.”",order
a9d499e206,"“Sziasztok! A weboldalon láttam, és szeretnék rendelni a feleségemnek -egy vörös rózsacsokrot.”",order
a9d499e207,"“Tetszik ez a rózsacsokor, anyámnak szeretnék küldeni anyák napjára.“",order
a9d499e208,"“Üdvözletem, szeretném megváltoztatni az édesanyámnak szánt rózsának a címét, az új cím legyen Székesfehérvár, toronysor 5.”",order_modification
a9d499e209,"“Azt hiszem a rendelésem kiszállításánál nem leszek otthon. Szeretném, ha a következő címre szállítanátok: 1111 Budapest Zenta utca 5.”",order_modification
a9d499e210,Ha megoldható akkor a címet módosítanám 1112 Budapest Kérő utca 90. ,order_modification
a9d499e211,Szeretném megváltoztatni a szállítási címet.,order_modification
a9d499e212,"“A rendelés leadása után vettem észre, hogy véletlenül kétszer tettem a kosárba az ágyneműt, úgyhogy az egyik megrendelést szeretném törölni.“",order_modification
a9d499e213,"“Szeretném megváltoztatni a rendelesémet, melyben egy személyes térkép volt és egy nagy rózsacsokor. Ha megoldható kettő nagy rózsacsokorra és 1 térképre változtatnám”",order_modification
a9d499e214,"“Úgy tűnik valamiért 4 szál örökrózsát adtam le rendelésbe, de nekem csak kettő kellene. Nagyon örülnék, ha megváltoztatható lenne kettő darabra.”",order_modification
a9d499e215,"“A visszaigazolás szerint holnap szállítja ki a futár a megrendelt szív párnát, de nem fogom tudni átvenni. Megoldható lenne, hogy egy nappal később legyen kiszállítva?”",order_modification
a9d499e216,"“Rendeltem a feleségemnek 1 szupernagy kék rózsamacit díszcsomagolással 7 napos szállítási idővel, szeretném módosítani a kiszállítást 3 nappal későbbre”",order_modification
a9d499e217,"“Tegnap rendeltem egy zöld nagy méretű rózsamacit, viszont praktikusabb lenne, ha a közepes méretűből vennék rózsaszínt. Örülnék, ha módosítani tudnátok a rendelésemet.” ",order_modification
a9d499e218,"“Volt egy 9 ezer forintos rendelésem a weboldalon, melyben egy közepes méretű vörös rózsacsokor volt, örülnék, ha helyette egy nagy méretű vörös rózsacsokrot készítenétek 14 ezerért.”",order_modification
a9d499e219,"“Holnapi nap az átvetelnél nekem kéne otthon lennem, de nem később érek haza, ezért szeretném, ha a feleségemnek adnák át a kézszobrokat”",order_modification
a9d499e220,"“Sajnos a rendelésemet nem tudom átvenni a kiszállítási napon. A fiamnak szóltam, hogy vegye át. Az elérhetőségét csatolom”",order_modification
a9d499e221,"“Amennyiben nem jelent problémát az eredeti rendelésemet, melyben egy szívpárna szerepel, szeretném, ha a jegyesemnek adnátok át egy üdvözlő üzenettel”",order_modification
a9d499e239,"“A mai napon, 06.01-jén rendeltem ebből a werbshopból Pető Szilvia néven, 138359-es rendelésszámmal. Szeretnék a rendelésemhez még 1 db rózsaszín  rózsamacit adni. Kérhetem, a rendelésem módosítását?”",order_modification
a9d499e240,"“Szeretnék változtatni a szállítási címen. Reggel kaptam egy e-mailt, hogy ma érkezik a csomag a webshopból, de sajnos ma mégsem tudok otthon lenni. A munkahelyemen tudom átvenni. Kérhetem, a rendelésem módosítását?”",order_modification
a9d499e243,"“Rendeltem egy rózsamacit, de a színe mégsem tetszik. Szeretném, ha kicserélnétek fehér színűre piros helyett!”",order_modification
a9d499e244,"“10 közepes rózsamacit rendeltem, de mégis a nagyobb tetszik. Kérhetném a rendelésem módosítását? Köszönöm!”",order_modification
a9d499e245,"“3 db páros ágyneműt rendeltem , de szeretném kicserélni az egyiket egy romantikus kézszoborra. Kérhetném a rendelésem módosítását? Köszönöm!”",order_modification
a9d499e248,"“Ma rendeltem ebből a werbshopból Pető Szilvia néven, 4570065 relésszámmal.  Szeretnék a szállítási időn változtatni jövőhét szerdára. Kérhetem, a rendelésem módosítását?”",order_modification
a9d499e249,"“Szeretnék változtatni a szállítási címen. Reggel kaptam egy e-mailt, hogy ma érkezik a csomag a webshopból, de sajnos ma mégsem tudok otthon lenni. A munkahelyemen tudom átvenni. Kérhetem, a rendelésem módosítását?”",order_modification
